account_id,status,route,outcome,confidence,abstained,review_case_id,assessment_id,model_calls,tokens,latency_ms,error
ACC-1077,completed,red,,,True,CASE-ACC-1077-0138-01,ASMT-ACC-1077-0138,0,0,22362.240093003493,
ACC-1184,completed,amber,Churned,0.728245,False,,ASMT-ACC-1184-0020,0,0,22447.767468001985,
ACC-1010,completed,amber,Contracted,0.718766,False,,ASMT-ACC-1010-0026,0,0,22007.331093001994,
ACC-1096,completed,red,Churned,0.83633,False,CASE-ACC-1096-0053-01,ASMT-ACC-1096-0053,0,0,22417.338425999333,
ACC-1052,completed,red,Expanded,0.638544,False,CASE-ACC-1052-0022-01,ASMT-ACC-1052-0022,0,0,671.2911260037799,
ACC-1217,completed,green,Renewed,0.830466,False,,ASMT-ACC-1217-0020,0,0,323.6836670039338,
