method,folds,macro_f1,accuracy,log_loss,brier,expected_calibration_error,n
none,0,0.7243522408963585,0.7450980392156863,0.6164715119488606,0.10147770962397651,0.13459548626448825,51.0
sigmoid,3,0.5421522921522922,0.7450980392156863,0.6868807045082181,0.09867933860796133,0.2129755324607521,51.0
sigmoid,5,0.5070480928689883,0.7254901960784313,0.727241889082078,0.10420685125717354,0.21781350431919685,51.0
isotonic,3,0.7422517394054395,0.8431372549019608,0.5388589363760398,0.07769373906123433,0.14814541325242978,51.0
isotonic,5,0.6640359336141705,0.8431372549019608,0.5276061014417813,0.07520965022283375,0.17143858372060994,51.0
